episode,reward,avg10,eval_reward,critic_loss,actor_loss,steps,replay_size
1,-1366.6908019410466,-1366.6908019410466,,0.0,0.0,200,200
2,-1094.5144893063014,-1230.602645623674,,0.0,0.0,400,400
3,-1306.8281924618252,-1256.011161236391,,0.0,0.0,600,600
4,-797.2095730452512,-1141.310764188606,,0.0,0.0,800,800
5,-1044.857215819872,-1122.0200545148593,,0.5214757323265076,1.5864531993865967,1000,1000
6,-1114.3120854726737,-1120.7353930078284,,0.04187588844215497,0.5861417572945357,1200,1200
7,-1616.3759981839935,-1191.5411937472804,,0.004142658867640421,0.8493200373649598,1400,1400
8,-1654.5746114884544,-1249.4203709649273,,0.006791032240143977,1.1626294499635696,1600,1600
9,-1768.868389636918,-1307.1368174840375,,0.011948517095879652,1.5119275748729706,1800,1800
10,-1728.6709387186145,-1349.2902296074951,-1592.9878094254416,0.018409308255068025,1.8674312317371369,2000,2000
11,-1423.1862421492165,-1354.9397736283122,,0.023504919186234475,2.1809149503707888,2200,2200
12,-1542.7653292362656,-1399.7648576213082,,0.03246547921211459,2.4928605008125304,2400,2400
13,-1369.0920257466446,-1405.9912409497904,,0.03636356634262484,2.7989922261238096,2600,2600
14,-1621.3593102564632,-1488.4062146709116,,0.04819855809910223,3.1281306195259093,2800,2800
15,-1406.8755994024998,-1524.6080530291742,,0.055597464971942824,3.43285261631012,3000,3000
16,-1494.3823845795062,-1562.6150829398578,,0.0647136406507343,3.7405584764480593,3200,3200
17,-1466.4188369578458,-1547.619366817243,,0.08396490167477168,4.065595865249634,3400,3400
18,-1596.2864074379684,-1541.7905464121943,,0.10128223051666282,4.347502491474152,3600,3600
19,-957.6121989858383,-1460.6649273470862,,0.11801653111935594,4.643293418884277,3800,3800
20,-794.9179303172689,-1367.2896265069517,-859.7301336095571,0.13469199027633294,4.830913124084472,4000,4000
21,-935.8113429320198,-1318.5521365852321,,0.15264616794418542,5.018549356460571,4200,4200
22,-986.4984134664902,-1262.9254450082544,,0.15880244597326965,5.22041582107544,4400,4400
23,-528.4455597839424,-1178.8607984119842,,0.18603803044650705,5.358982896804809,4600,4600
24,-1013.108995338125,-1118.0357669201505,,0.17058954817242922,5.541340985298157,4800,4800
25,-754.3948611218486,-1052.7876930920854,,0.18516872144304217,5.724720516204834,5000,5000
26,-953.3864213286121,-998.6880967669961,,0.22779205615166576,5.899929137229919,5200,5200
27,-924.0278433291401,-944.4489974041253,,0.22813525788951666,6.10006609916687,5400,5400
28,-912.3530494764182,-876.0556616079705,,0.2477127893920988,6.242457675933838,5600,5600
29,-933.8700964201488,-873.6814513514013,,0.26627706255763767,6.384084906578064,5800,5800
30,-526.9409822441135,-846.8837565440859,-942.2967299764865,0.2744409716129303,6.57566397190094,6000,6000
31,-134.71347200640685,-766.7739694515246,,0.2614976189378649,6.574153032302856,6200,6200
32,-401.40034395507263,-708.2641625003828,,0.28258266106713564,6.648480296134949,6400,6400
33,-267.82238842895725,-682.2018453648842,,0.26877494852989914,6.654870457649231,6600,6600
34,-252.03065493668404,-606.0940113247402,,0.2919573046080768,6.7183956003189085,6800,6800
35,-267.9678790899006,-557.4513131215454,,0.3062003224249929,6.655738415718079,7000,7000
36,-254.44226344181888,-487.5568973328661,,0.30342589057050645,6.686241660118103,7200,7200
37,-6.778556480131765,-395.83196864796525,,0.31835929622873665,6.723827805519104,7400,7400
38,-125.00592331012781,-317.0972560313362,,0.32853463128674776,6.631718974113465,7600,7600
39,-117.42858081988764,-235.45310447131004,,0.30681562460027634,6.671495985984802,7800,7800
40,-132.192768148947,-195.97828306179343,-129.93311669687975,0.3386942436825484,6.671015124320984,8000,8000
41,-133.7304478718835,-195.87998064834113,,0.3035981200821698,6.551229639053345,8200,8200
42,-136.49562020926373,-169.3895082737602,,0.36219412890262903,6.577298073768616,8400,8400
43,-133.95798062982158,-156.00306749384666,,0.38089314686134457,6.514656381607056,8600,8600
44,-258.17459553530887,-156.61746155370915,,0.3373010464012623,6.457665419578552,8800,8800
45,-131.90532609521537,-143.01120625424062,,0.3750235070474446,6.449095163345337,9000,9000
46,-774.4168256947048,-195.0086624795292,,0.3133228029217571,6.4902537107467655,9200,9200
47,-121.89363002973316,-206.52016983448934,,0.4152376227453351,6.501865315437317,9400,9400
48,-261.13431551539776,-220.13300905501637,,0.3504316899739206,6.4688409900665285,9600,9600
49,-258.4324314673785,-234.23339411976545,,0.34459842324256895,6.471603665351868,9800,9800
50,-128.0042314232551,-233.8145404471962,-40.15491552997864,0.3813836507871747,6.368594379425049,10000,10000
51,-501.15356453267754,-270.5568521132756,,0.3739973878581077,6.39814061164856,10200,10200
52,-120.35172458762092,-268.94246255111136,,0.4105578072182834,6.383439407348633,10400,10400
53,-0.757001500427477,-255.62236463817197,,0.4169528448302299,6.313413586616516,10600,10600
54,-401.31132963835927,-269.93603804847703,,0.38592061546631157,6.2896493768692014,10800,10800
55,-116.88841451785267,-268.4343468907407,,0.31926508920267227,6.204367079734802,11000,11000
56,-121.17138555685574,-203.10980287695583,,0.3421539675164968,6.140023155212402,11200,11200
57,-130.18797012193266,-203.9392368861758,,0.40652616337873043,6.152794051170349,11400,11400
58,-124.22426739320413,-190.24823207395642,,0.4165434949565679,6.014312906265259,11600,11600
59,-126.70508887048678,-177.07549781426724,,0.4345164376217872,6.048590869903564,11800,11800
60,-126.79900383885087,-176.9549750558268,-290.62590457905645,0.3845304519217461,6.000514049530029,12000,12000
61,-125.94432273834283,-139.43405087639334,,0.47132898558862507,5.840598387718201,12200,12200
62,-6.4004190081387105,-128.03892031844512,,0.3798356712050736,5.783831768035888,12400,12400
63,-239.82995286630657,-151.946215455033,,0.4334946590941399,5.746929636001587,12600,12600
64,-118.71639423368153,-123.68672191456524,,0.38308422815985976,5.750465402603149,12800,12800
65,-122.5772110979523,-124.25560157257522,,0.3469395889993757,5.636558885574341,13000,13000
66,-231.4528245516716,-135.2837454720568,,0.38485222183167933,5.664329581260681,13200,13200
67,-115.59273272897244,-133.82422173276078,,0.43481843115761876,5.512999258041382,13400,13400
68,-126.82781797041645,-134.084576790482,,0.4819852986373007,5.398487496376037,13600,13600
69,-126.65815754901759,-134.0798836583351,,0.35951203310862184,5.387307281494141,13800,13800
70,-237.61315506537542,-145.16129878098755,-122.15639030601568,0.39644544107839463,5.474765748977661,14000,14000
71,-114.40663984734003,-144.00753049188728,,0.42502290088683364,5.233648200035095,14200,14200
72,-1.5004691283006943,-143.51753550390347,,0.3821825191285461,5.240323257446289,14400,14400
73,-125.24894027182286,-132.05943424445508,,0.456897316519171,4.990047118663788,14600,14600
74,-3.534478298824212,-120.54124265096937,,0.3124461935926229,4.988487672805786,14800,14800
75,-245.7812903577807,-132.86165057695223,,0.4263968143425882,4.8678639793395995,15000,15000
76,-123.96073186427772,-122.11244130821282,,0.4473909885250032,4.814873154163361,15200,15200
77,-249.01240116693526,-135.45440815200908,,0.4837461865786463,4.639931206703186,15400,15400
78,-117.06228809448221,-134.47785516441567,,0.4951483228430152,4.563810710906982,15600,15600
79,-120.19514060099125,-133.83155346961303,,0.48831343445926906,4.466987714767456,15800,15800
80,-655.3748141005386,-175.60771937312933,-305.33667558705184,0.4523156760446727,4.4378679728508,16000,16000
81,-127.37459756172721,-176.90451514456808,,0.4776343569159508,4.434752559661865,16200,16200
82,-0.41543666973067367,-176.79601189871107,,0.5447729580104351,4.166951971054077,16400,16400
83,-261.66219451084896,-190.4373373226137,,0.5015213356725872,4.092582850456238,16600,16600
84,-122.54140535953957,-202.3380300286852,,0.535280124451965,4.196328220367431,16800,16800
85,-118.75175502340994,-189.63507649524814,,0.4596468766406179,3.9671618509292603,17000,17000
86,-126.66896328264998,-189.90589963708535,,0.5591509608924389,3.790471923351288,17200,17200
87,-1059.6519428383713,-270.96985380422893,,0.5377785361744464,3.8005819487571717,17400,17400
88,-353.809289412098,-294.64455393599053,,0.573400415610522,3.760379946231842,17600,17600
89,-374.6223605800514,-320.0872759338966,,0.5003286115638912,3.6664669370651244,17800,17800
90,-118.07426203743056,-266.35722072758574,-869.0545952550905,0.503530156519264,3.6442693400382997,18000,18000
91,-120.55049659196278,-265.6748106306093,,0.43340137995779515,3.518281030654907,18200,18200
92,-370.7550297667125,-302.7087699403075,,0.5892874208278954,3.4757606315612795,18400,18400
93,-379.36415858563805,-314.4789663477864,,0.5281545457616449,3.341190115213394,18600,18600
94,-243.67891330825378,-326.5927171426578,,0.4618211881816387,3.327994697093964,18800,18800
95,-115.67780829718528,-326.28532247003534,,0.5211254834756255,3.0801933467388154,19000,19000
96,-125.69286768538282,-326.1877129103087,,0.5872018532641232,3.027472652196884,19200,19200
97,-358.7340296232128,-256.09592158879275,,0.5818679997138679,2.975220756530762,19400,19400
98,-124.40773385153437,-233.15576603273644,,0.527847514897585,2.8970401179790497,19600,19600
99,-233.65101214765608,-219.0586311894969,,0.43772699126973746,2.7503501588106154,19800,19800
100,-1.6145904874523735,-207.41266403449913,-79.29696295613914,0.4269580507092178,2.7625103175640104,20000,20000
101,-115.75718019997484,-206.93333239530028,,0.49817862087860704,2.4742715471982955,20200,20200
102,-237.60834747058968,-193.61866416568802,,0.5142594815418124,2.656373039484024,20400,20400
103,-128.36477626199263,-168.51872593332345,,0.47830049697309734,2.3823697185516357,20600,20600
104,-117.78363852795401,-155.9291984552935,,0.5452796260267496,2.3122122514247896,20800,20800
105,-243.55833690793352,-168.71725131636833,,0.5383677253685891,2.2039569655060767,21000,21000
106,-1.8654540889860773,-156.33450995672865,,0.4632165117934346,2.1164044907689092,21200,21200
107,-0.38148077149360476,-120.49925507155675,,0.5334800303541124,1.9852901351451875,21400,21400
108,-225.88801868306962,-130.64728355471024,,0.5736466205306351,1.9309430326521397,21600,21600
109,-123.24280089190664,-119.60646242913529,,0.502865114416927,1.8858565306663513,21800,21800
110,-250.29255174594888,-144.47425855498494,-80.81299325264007,0.426355306468904,1.8605535161495208,22000,22000
111,-244.21664432078057,-157.32020496706554,,0.4839731941744685,1.7014018130302428,22200,22200
112,-245.80069123354386,-158.13943934336095,,0.4680592559464276,1.6258317664265634,22400,22400
113,-116.66149330558555,-156.96911104772022,,0.4981357018277049,1.6447224521636963,22600,22600
114,-224.85613124404603,-167.67636031932943,,0.4504474782757461,1.4413798719644546,22800,22800
115,-116.9977760569103,-155.02030423422713,,0.42208910632878544,1.4052676291763782,23000,23000
116,-1.0378820198479974,-154.9375470273133,,0.46245747795328496,1.2543097861111163,23200,23200
117,-341.7488429760767,-189.07428324777163,,0.5668649819307029,1.2296654510498046,23400,23400
118,-122.13823051857996,-178.69930443132267,,0.40070061706006527,1.1478280578553677,23600,23600
119,-280.69555007711233,-194.44457934984322,,0.38423525040969253,0.9816558310389518,23800,23800
120,-231.10381691965011,-192.52570586721333,-158.19880709495786,0.5488022474199533,0.9819368947297334,24000,24000
121,-233.8229508084865,-191.48633651598394,,0.47701700842007994,0.8552990067005157,24200,24200
122,-116.20015011897247,-178.52628240452677,,0.49189798267558216,0.6697918985784054,24400,24400
123,-117.3691085889703,-178.59704393286526,,0.45735433902591466,0.6996684730052948,24600,24600
124,-117.14142559705644,-167.82557336816632,,0.5090708618983626,0.5759005287662149,24800,24800
125,-130.90165899199536,-169.21596166167484,,0.42109549751505254,0.39456420835107564,25000,25000
126,-2.212334706208609,-169.33340693031087,,0.3209995422512293,0.3271002407371998,25200,25200
127,-244.91416554662516,-159.64993918736573,,0.3794756051339209,0.3287172429263592,25400,25400
128,-223.31121164512874,-169.76723730002058,,0.48842864464968444,0.31382081635296344,25600,25600
129,-115.95553075437796,-153.29323536774717,,0.4984801374003291,0.19655295498669148,25800,25800
130,-0.5201362169653254,-130.2348672974787,-76.83890009590138,0.4896226946078241,0.14055099576711655,26000,26000
131,-118.52494424666217,-118.70506664129626,,0.40311637552455065,0.01331540808081627,26200,26200
132,-121.47755374331747,-119.23280700373076,,0.49153398744761945,0.006342019066214562,26400,26400
133,-240.5240872271838,-131.5483048675521,,0.45946331540122626,-0.13371742248535157,26600,26600
134,-118.17861964860563,-131.65202427270702,,0.34826549228280784,-0.11772403173148632,26800,26800
135,-233.76414546301547,-141.93827291980907,,0.30217111691832543,-0.27661721371114256,27000,27000
136,-122.63331097300934,-153.9803705464891,,0.3566781316883862,-0.29708860129117964,27200,27200
137,-125.33874876446872,-142.02282886827348,,0.4209358779713511,-0.4626469597965479,27400,27400
138,-226.050742404146,-142.29678194417517,,0.4312598497234285,-0.35255312502384184,27600,27600
139,-228.04353706873144,-153.50558257561053,,0.3737379722669721,-0.4925644801557064,27800,27800
140,-127.33358791815841,-166.18692774572986,-197.44585051512948,0.3192702362127602,-0.5370635935664176,28000,28000
141,-124.41105853649896,-166.77553917471354,,0.4082177263312042,-0.6600011233985424,28200,28200
142,-252.00119839261419,-179.8279036396432,,0.42527409540489314,-0.6076921578496695,28400,28400
143,-114.14660066277149,-167.19015498320198,,0.41902031753212216,-0.6350769494473935,28600,28600
144,-121.1060177985314,-167.48289479819454,,0.38356574898585677,-0.7609298410266638,28800,28800
145,-114.04967704068072,-155.51144795596105,,0.3631271089054644,-0.8520714266598225,29000,29000
146,-246.36313400974257,-167.88443025963437,,0.3772313980571926,-0.8121911784261465,29200,29200
147,-122.86662467011121,-167.63721785019862,,0.41302952587604524,-0.9852084343880415,29400,29400
148,-123.18075631371711,-157.35021924115574,,0.3719128335826099,-1.0500006410479545,29600,29600
149,-226.2986377915647,-157.1757293134391,,0.40274732643738387,-1.0357753267884255,29800,29800
150,-118.80393667432804,-156.32276418905604,-80.97058884327674,0.4551660945080221,-1.124378129914403,30000,30000
